,TF family name,number of TFs,list of TFs
17,LOB,59,"Solyc01g044520.2.1,Solyc01g091400.3.1,Solyc01g091420.2.1,Solyc01g098220.2.1,Solyc01g107190.3.1,Solyc01g109240.3.1,Solyc02g065150.2.1,Solyc02g067800.4.1,Solyc02g069440.3.1,Solyc02g077380.2.1,Solyc02g085910.4.1,Solyc02g086480.1.1,Solyc02g087570.1.1,Solyc02g090410.4.1,Solyc02g092550.3.1,Solyc03g063140.4.1,Solyc03g095940.1.1,Solyc03g112430.1.1,Solyc03g113360.4.1,Solyc03g119530.3.1,Solyc04g050010.2.1,Solyc04g077990.3.1,Solyc05g009320.4.1,Solyc05g048740.3.1,Solyc06g005090.3.1,Solyc06g007390.4.1,Solyc06g050430.3.1,Solyc06g050950.3.1,Solyc06g062630.2.1,Solyc06g064540.3.1,Solyc06g071660.3.1,Solyc06g075330.3.1,Solyc06g082310.3.1,Solyc06g082430.2.1,Solyc06g082770.3.1,Solyc06g083930.2.1,Solyc08g065130.3.1,Solyc09g005430.3.1,Solyc09g010485.1.1,Solyc09g010490.3.1,Solyc09g010495.1.1,Solyc09g150107.1.1,Solyc09g014646.1.1,Solyc09g014647.1.1,Solyc09g014648.1.1,Solyc09g014649.1.1,Solyc09g014690.3.1,Solyc09g014700.3.1,Solyc09g014705.1.1,Solyc09g018185.1.1,Solyc09g066260.4.1,Solyc09g066270.3.1,Solyc11g008490.3.1,Solyc11g008830.2.1,Solyc11g045530.3.1,Solyc11g070180.1.1,Solyc11g072470.3.1,Solyc12g010810.1.1,Solyc12g100150.2.1"
47,MADF_DNA_bdg,28,"Solyc01g088820.2.1,Solyc01g096470.3.1,Solyc02g005290.4.1,Solyc02g076810.4.1,Solyc02g083750.1.1,Solyc03g111260.3.1,Solyc03g122030.1.1,Solyc04g071360.4.1,Solyc04g077920.3.1,Solyc05g018350.4.1,Solyc06g051120.4.1,Solyc06g083430.1.1,Solyc07g055100.4.1,Solyc08g005900.4.1,Solyc08g007170.1.1,Solyc08g077290.1.1,Solyc09g005560.4.1,Solyc09g008850.3.1,Solyc09g009250.3.1,Solyc09g010820.3.1,Solyc11g005380.2.1,Solyc11g012720.2.1,Solyc11g072450.2.1,Solyc12g010890.2.1,Solyc12g077540.3.1,Solyc12g043090.3.1,Solyc12g056510.3.1,Solyc12g088370.2.1"
5,MBD,19,"Solyc01g067965.1.1,Solyc01g105330.3.1,Solyc03g025970.3.1,Solyc03g116680.3.1,Solyc04g074250.3.1,Solyc05g041160.3.1,Solyc06g068140.3.1,Solyc06g082040.2.1,Solyc06g084400.3.1,Solyc07g008170.2.1,Solyc07g015930.3.1,Solyc08g080690.4.1,Solyc10g018460.1.1,Solyc10g018490.1.1,Solyc10g049990.1.1,Solyc11g068740.2.1,Solyc11g068910.3.1,Solyc11g073080.3.1,Solyc12g009590.2.1"
25,MH1,2,"Solyc05g052810.4.1,Solyc11g071200.3.1"
39,mTERF,31,"Solyc01g007750.3.1,Solyc01g090490.1.1,Solyc01g109550.2.1,Solyc01g109630.4.1,Solyc02g021430.1.1,Solyc02g067960.3.1,Solyc02g069320.1.1,Solyc02g082010.3.1,Solyc02g091720.2.1,Solyc02g093940.3.1,Solyc03g063390.1.1,Solyc03g081300.4.1,Solyc03g124040.3.1,Solyc04g005630.3.1,Solyc04g011700.2.1,Solyc04g051880.3.1,Solyc04g072490.4.1,Solyc04g072500.1.1,Solyc04g072510.3.1,Solyc04g072520.3.1,Solyc04g072530.2.1,Solyc04g072540.3.1,Solyc04g072550.3.1,Solyc05g007840.3.1,Solyc09g097920.3.1,Solyc11g017050.1.1,Solyc11g017430.3.1,Solyc11g022600.2.1,Solyc11g044360.3.1,Solyc12g010650.1.1,Solyc12g015640.2.1"
8,Myb_DNA-binding,336,"Solyc01g005660.3.1,Solyc01g009070.3.1,Solyc01g009650.1.1,Solyc01g010910.2.1,Solyc01g016770.1.1,Solyc01g057910.3.1,Solyc01g065540.3.1,Solyc01g067390.4.1,Solyc01g067560.3.1,Solyc01g068540.3.1,Solyc01g079210.3.1,Solyc01g079620.4.1,Solyc01g073950.4.1,Solyc01g087130.4.1,Solyc01g088820.2.1,Solyc01g090530.3.1,Solyc01g091810.1.1,Solyc01g094360.3.1,Solyc01g095030.3.1,Solyc01g095640.2.1,Solyc01g096470.3.1,Solyc01g096700.4.1,Solyc01g102340.3.1,Solyc01g106940.4.1,Solyc01g108300.3.1,Solyc01g109510.3.1,Solyc01g109690.1.1,Solyc01g111500.3.1,Solyc02g036370.3.1,Solyc02g064630.4.1,Solyc02g067340.4.1,Solyc02g067760.4.1,Solyc02g068560.3.1,Solyc02g076670.3.1,Solyc02g076810.4.1,Solyc02g078810.4.1,Solyc02g079280.3.1,Solyc02g080710.2.1,Solyc02g080730.2.1,Solyc02g080740.3.1,Solyc02g080860.3.1,Solyc02g082040.3.1,Solyc02g082370.1.1,Solyc02g082375.1.1,Solyc02g082390.1.1,Solyc02g085145.1.1,Solyc02g086690.3.1,Solyc02g087960.3.1,Solyc02g088190.4.1,Solyc02g089190.2.1,Solyc02g090400.4.1,Solyc02g091980.2.1,Solyc02g092930.1.1,Solyc02g093740.3.1,Solyc03g005570.3.1,Solyc03g006150.2.1,Solyc03g025870.3.1,Solyc03g059200.2.1,Solyc03g063210.3.1,Solyc03g083340.3.1,Solyc03g093890.3.1,Solyc03g093930.4.1,Solyc03g093940.2.1,Solyc03g096350.3.1,Solyc03g098270.1.1,Solyc03g098320.4.1,Solyc03g019800.4.1,Solyc03g111260.3.1,Solyc03g112390.3.1,Solyc03g112890.1.1,Solyc03g113530.3.1,Solyc03g113620.3.1,Solyc03g115440.3.1,Solyc03g116100.3.1,Solyc03g118230.3.1,Solyc03g119050.4.1,Solyc03g119370.2.1,Solyc03g119740.3.1,Solyc03g121740.3.1,Solyc03g121840.3.1,Solyc03g121990.4.1,Solyc04g005100.3.1,Solyc04g005600.3.1,Solyc04g005710.3.1,Solyc04g008050.4.1,Solyc04g008480.2.1,Solyc04g008870.3.1,Solyc04g009950.3.1,Solyc04g011650.3.1,Solyc04g014470.3.1,Solyc04g015290.3.1,Solyc04g045430.4.1,Solyc04g049120.4.1,Solyc04g049740.1.1,Solyc04g050000.3.1,Solyc04g050070.3.1,Solyc04g050080.1.1,Solyc04g050090.1.1,Solyc04g050100.1.1,Solyc04g050960.3.1,Solyc04g051080.2.1,Solyc04g056310.3.1,Solyc04g064540.4.1,Solyc04g071360.4.1,Solyc04g074170.3.1,Solyc04g076360.4.1,Solyc04g077260.3.1,Solyc04g078420.1.1,Solyc04g079360.1.1,Solyc04g079600.3.1,Solyc04g150172.1.1,Solyc04g080500.3.1,Solyc04g082760.3.1,Solyc05g007160.3.1,Solyc05g007690.2.1,Solyc05g007710.3.1,Solyc05g007870.3.1,Solyc05g007890.4.1,Solyc05g008250.2.1,Solyc05g009230.3.1,Solyc05g009720.3.1,Solyc05g013420.1.1,Solyc05g013430.1.1,Solyc05g014260.3.1,Solyc05g014290.4.1,Solyc05g014570.1.1,Solyc05g048830.3.1,Solyc05g049860.3.1,Solyc05g049960.4.1,Solyc05g051060.3.1,Solyc05g051550.2.1,Solyc05g052610.3.1,Solyc05g052850.3.1,Solyc05g053150.2.1,Solyc05g053330.3.1,Solyc05g054200.4.1,Solyc05g054390.4.1,Solyc05g054410.4.1,Solyc05g055030.2.1,Solyc05g055240.3.1,Solyc05g055940.3.1,Solyc06g005270.3.1,Solyc06g005310.3.1,Solyc06g005320.1.1,Solyc06g005330.3.1,Solyc06g005590.4.1,Solyc06g005680.4.1,Solyc06g008200.3.1,Solyc06g009410.3.1,Solyc06g009430.3.1,Solyc06g009480.3.1,Solyc06g009710.4.1,Solyc06g033870.1.1,Solyc06g034000.2.1,Solyc06g034030.3.1,Solyc06g036300.4.1,Solyc06g051060.4.1,Solyc06g051120.4.1,Solyc06g053610.3.1,Solyc06g054560.3.1,Solyc06g060120.3.1,Solyc06g061030.3.1,Solyc06g065100.3.1,Solyc06g065730.3.1,Solyc06g066180.4.1,Solyc06g066340.4.1,Solyc06g069560.3.1,Solyc06g069850.3.1,Solyc06g071230.3.1,Solyc06g071520.1.1,Solyc06g071690.3.1,Solyc06g072270.4.1,Solyc06g073640.4.1,Solyc06g074910.3.1,Solyc06g074920.3.1,Solyc06g075660.4.1,Solyc06g075670.1.1,Solyc06g076270.3.1,Solyc06g076350.3.1,Solyc06g076770.3.1,Solyc06g076840.3.1,Solyc06g082510.3.1,Solyc06g083420.3.1,Solyc06g083430.1.1,Solyc06g083900.3.1,Solyc07g005140.4.1,Solyc07g006750.3.1,Solyc07g008010.4.1,Solyc07g009110.3.1,Solyc07g009580.2.1,Solyc07g019550.1.1,Solyc07g026680.2.1,Solyc07g040920.2.1,Solyc07g045000.4.1,Solyc07g047610.3.1,Solyc07g049640.3.1,Solyc07g052300.3.1,Solyc07g052490.4.1,Solyc07g053230.3.1,Solyc07g053240.3.1,Solyc07g053630.4.1,Solyc07g054840.4.1,Solyc07g054960.2.1,Solyc07g054980.3.1,Solyc07g055000.2.1,Solyc07g056120.3.1,Solyc08g005260.2.1,Solyc08g005870.2.1,Solyc08g005900.4.1,Solyc08g007170.1.1,Solyc08g007300.3.1,Solyc08g008480.4.1,Solyc08g013980.4.1,Solyc08g029130.3.1,Solyc08g065380.3.1,Solyc08g065910.1.1,Solyc08g066190.2.1,Solyc08g068320.3.1,Solyc08g076010.4.1,Solyc08g076400.3.1,Solyc08g076700.1.1,Solyc08g076710.3.1,Solyc08g077230.3.1,Solyc08g077290.1.1,Solyc08g078340.3.1,Solyc08g079270.3.1,Solyc08g080580.4.1,Solyc08g081290.4.1,Solyc08g081500.3.1,Solyc08g082890.3.1,Solyc09g005030.3.1,Solyc09g005370.1.1,Solyc09g005560.4.1,Solyc09g007570.3.1,Solyc09g007580.3.1,Solyc09g007990.3.1,Solyc09g008100.4.1,Solyc09g008250.4.1,Solyc09g008390.3.1,Solyc09g009250.3.1,Solyc09g010820.3.1,Solyc09g010840.1.1,Solyc09g011780.3.1,Solyc09g014250.3.1,Solyc09g020000.3.1,Solyc09g042677.1.1,Solyc09g055650.3.1,Solyc09g060080.4.1,Solyc09g072830.4.1,Solyc09g090130.3.1,Solyc09g090790.3.1,Solyc09g091880.4.1,Solyc10g005240.3.1,Solyc10g005460.3.1,Solyc10g005550.3.1,Solyc10g005760.3.1,Solyc10g008700.3.1,Solyc10g019150.1.1,Solyc10g019260.3.1,Solyc10g044680.2.1,Solyc10g050420.3.1,Solyc10g052470.1.1,Solyc10g055410.2.1,Solyc10g076460.2.1,Solyc10g076820.2.1,Solyc10g078310.2.1,Solyc10g078720.2.1,Solyc10g080300.1.1,Solyc10g080460.2.1,Solyc10g080920.2.1,Solyc10g080960.1.1,Solyc10g081320.1.1,Solyc10g081490.2.1,Solyc10g083340.3.1,Solyc10g083900.2.1,Solyc10g084370.3.1,Solyc10g085620.2.1,Solyc10g086250.2.1,Solyc10g086260.3.1,Solyc10g086270.2.1,Solyc10g086290.3.1,Solyc10g005080.3.1,Solyc11g005380.2.1,Solyc11g005950.2.1,Solyc11g006720.2.1,Solyc11g011050.2.1,Solyc11g011770.3.1,Solyc11g012720.2.1,Solyc11g013560.1.1,Solyc11g013620.1.1,Solyc11g017360.3.1,Solyc11g022470.2.1,Solyc11g050730.1.1,Solyc11g044320.2.1,Solyc11g039750.3.1,Solyc11g065840.3.1,Solyc11g067280.2.1,Solyc11g067320.1.1,Solyc11g067343.1.1,Solyc11g069030.3.1,Solyc11g069850.3.1,Solyc11g071300.2.1,Solyc11g071500.3.1,Solyc11g072060.3.1,Solyc11g072330.2.1,Solyc11g073120.2.1,Solyc12g005640.2.1,Solyc12g005890.3.1,Solyc12g006280.3.1,Solyc12g006800.2.1,Solyc12g008670.2.1,Solyc12g008800.3.1,Solyc12g010330.2.1,Solyc12g011250.1.1,Solyc12g017370.3.1,Solyc12g019810.1.1,Solyc12g019840.1.1,Solyc12g019900.2.1,Solyc12g019910.1.1,Solyc12g077540.3.1,Solyc12g043090.3.1,Solyc12g044610.2.1,Solyc12g049300.2.1,Solyc12g049350.2.1,Solyc12g056510.3.1,Solyc12g087970.2.1,Solyc12g088610.1.1,Solyc12g089170.3.1,Solyc12g089190.1.1,Solyc12g096200.2.1,Solyc12g098160.2.1,Solyc12g098370.2.1,Solyc12g099120.3.1,Solyc12g099130.2.1,Solyc12g099140.2.1,Solyc12g099380.3.1"
3,NAM,98,"Solyc01g009860.3.1,Solyc01g021730.2.1,Solyc01g102740.3.1,Solyc01g103420.4.1,Solyc01g104900.3.1,Solyc02g036430.2.1,Solyc02g061780.3.1,Solyc02g061870.1.1,Solyc02g061900.1.1,Solyc02g061910.1.1,Solyc02g062060.1.1,Solyc02g062070.2.1,Solyc02g062090.1.1,Solyc02g062210.3.1,Solyc02g069960.4.1,Solyc02g070140.1.1,Solyc02g077610.3.1,Solyc02g081270.4.1,Solyc02g084350.3.1,Solyc02g087920.3.1,Solyc02g088180.3.1,Solyc02g093420.4.1,Solyc03g059300.1.1,Solyc03g062670.1.1,Solyc03g062750.1.1,Solyc03g078120.4.1,Solyc03g080090.4.1,Solyc03g083880.4.1,Solyc03g097650.3.1,Solyc03g098190.3.1,Solyc03g114220.1.1,Solyc03g114260.1.1,Solyc03g115850.3.1,Solyc04g005610.3.1,Solyc04g009440.3.1,Solyc04g025760.1.1,Solyc04g072220.3.1,Solyc04g078670.3.1,Solyc04g079940.3.1,Solyc05g007550.3.1,Solyc05g007770.3.1,Solyc05g009840.3.1,Solyc05g021090.4.1,Solyc05g026180.2.1,Solyc05g055470.4.1,Solyc05g055480.3.1,Solyc05g056477.1.1,Solyc06g008360.3.1,Solyc06g034340.3.1,Solyc06g060230.3.1,Solyc06g061080.3.1,Solyc06g063380.1.1,Solyc06g063430.2.1,Solyc06g065410.3.1,Solyc06g068580.1.1,Solyc06g069100.3.1,Solyc06g069710.3.1,Solyc06g073050.2.1,Solyc06g074170.3.1,Solyc06g083850.4.1,Solyc07g006840.1.1,Solyc07g045030.4.1,Solyc07g053590.4.1,Solyc07g053680.2.1,Solyc07g062240.1.1,Solyc07g062840.3.1,Solyc07g063410.3.1,Solyc07g063420.3.1,Solyc07g066330.3.1,Solyc08g006020.4.1,Solyc08g007015.1.1,Solyc08g008660.4.1,Solyc08g028850.1.1,Solyc08g077110.4.1,Solyc08g079120.3.1,Solyc09g010160.3.1,Solyc09g025310.4.1,Solyc10g006880.3.1,Solyc10g047060.2.1,Solyc10g051070.1.1,Solyc10g055760.2.1,Solyc10g079220.2.1,Solyc10g083450.3.1,Solyc10g005010.4.1,Solyc11g005920.3.1,Solyc11g008000.2.1,Solyc11g008010.2.1,Solyc11g017470.2.1,Solyc11g018660.2.1,Solyc11g022480.1.1,Solyc11g065540.1.1,Solyc11g068620.2.1,Solyc11g068750.2.1,Solyc12g013620.2.1,Solyc12g017400.3.1,Solyc12g036480.2.1,Solyc12g038457.1.1,Solyc12g056790.2.1"
29,P53,1,Solyc01g079380.1.1
31,PAX,1,Solyc08g150112.1.1
33,PLATZ,27,"Solyc01g091000.4.1,Solyc02g032555.1.1,Solyc02g032585.1.1,Solyc02g033100.3.1,Solyc02g033110.3.1,Solyc02g033120.3.1,Solyc02g036130.3.1,Solyc02g036140.1.1,Solyc02g036170.3.1,Solyc02g036200.1.1,Solyc02g036215.1.1,Solyc02g036230.3.1,Solyc02g068510.2.1,Solyc03g044625.1.1,Solyc03g120210.3.1,Solyc04g008090.4.1,Solyc04g072780.4.1,Solyc06g061240.4.1,Solyc07g007320.3.1,Solyc07g049120.2.1,Solyc07g049130.1.1,Solyc08g005100.3.1,Solyc08g076860.3.1,Solyc10g085800.2.1,Solyc11g005110.3.1,Solyc12g010470.3.1,Solyc12g056950.2.1"
62,Pou,7,"Solyc01g008410.3.1,Solyc01g102870.3.1,Solyc01g106460.4.1,Solyc02g072440.4.1,Solyc03g123770.1.1,Solyc07g008590.1.1,Solyc10g045090.3.1"
34,RRM_1,282,"Solyc01g005820.4.1,Solyc01g006940.4.1,Solyc01g008360.3.1,Solyc01g008600.4.1,Solyc01g008970.4.1,Solyc01g058450.3.1,Solyc01g058690.1.1,Solyc01g079630.3.1,Solyc01g080660.3.1,Solyc01g086980.4.1,Solyc01g088100.4.1,Solyc01g088370.3.1,Solyc01g088730.3.1,Solyc01g088800.4.1,Solyc01g091750.3.1,Solyc01g096180.4.1,Solyc01g099810.3.1,Solyc01g102970.3.1,Solyc01g103090.4.1,Solyc01g104840.4.1,Solyc01g105140.3.1,Solyc01g107870.3.1,Solyc01g108310.4.1,Solyc01g108500.4.1,Solyc01g109660.2.1,Solyc01g109990.4.1,Solyc01g110200.2.1,Solyc01g110220.1.1,Solyc01g110230.1.1,Solyc01g110260.3.1,Solyc01g110820.4.1,Solyc01g112010.3.1,Solyc02g014310.4.1,Solyc02g021560.4.1,Solyc02g030530.1.1,Solyc02g032790.2.1,Solyc02g038816.1.1,Solyc02g061800.2.1,Solyc02g061840.3.1,Solyc02g062290.2.1,Solyc02g062620.3.1,Solyc02g062920.3.1,Solyc02g066830.4.1,Solyc02g066930.3.1,Solyc02g067390.3.1,Solyc02g068440.3.1,Solyc02g069160.3.1,Solyc02g069790.3.1,Solyc02g069810.3.1,Solyc02g070550.3.1,Solyc02g071270.3.1,Solyc02g080420.4.1,Solyc02g081940.3.1,Solyc02g082270.3.1,Solyc02g083320.3.1,Solyc02g083430.1.1,Solyc02g085420.4.1,Solyc02g085570.4.1,Solyc02g086510.4.1,Solyc02g088110.4.1,Solyc02g088720.4.1,Solyc02g088790.3.1,Solyc02g090910.3.1,Solyc02g093120.4.1,Solyc02g093340.3.1,Solyc03g005680.3.1,Solyc03g007320.4.1,Solyc03g025280.4.1,Solyc03g026240.4.1,Solyc03g031720.3.1,Solyc03g032140.4.1,Solyc03g033310.4.1,Solyc03g071560.4.1,Solyc03g082380.4.1,Solyc03g082390.3.1,Solyc03g082400.3.1,Solyc03g082710.4.1,Solyc03g093350.4.1,Solyc03g094040.4.1,Solyc03g094060.4.1,Solyc03g094080.4.1,Solyc03g096680.2.1,Solyc03g097110.4.1,Solyc03g111840.3.1,Solyc03g114140.3.1,Solyc03g118800.3.1,Solyc03g119430.4.1,Solyc03g121450.3.1,Solyc03g121710.2.1,Solyc03g122180.4.1,Solyc03g123840.4.1,Solyc04g005350.3.1,Solyc04g009510.4.1,Solyc04g009720.1.1,Solyc04g010000.3.1,Solyc04g010040.3.1,Solyc04g014460.4.1,Solyc04g014820.4.1,Solyc04g014870.3.1,Solyc04g015090.3.1,Solyc04g016175.2.1,Solyc04g017710.3.1,Solyc04g049840.4.1,Solyc04g049920.4.1,Solyc04g049950.1.1,Solyc04g071050.4.1,Solyc04g072043.1.1,Solyc04g074040.3.1,Solyc04g074310.4.1,Solyc04g074750.3.1,Solyc04g077520.3.1,Solyc04g077940.4.1,Solyc04g079080.2.1,Solyc04g079310.4.1,Solyc04g082770.4.1,Solyc05g006070.4.1,Solyc05g006960.3.1,Solyc05g007200.4.1,Solyc05g007510.4.1,Solyc05g008280.2.1,Solyc05g012240.3.1,Solyc05g013930.2.1,Solyc05g013970.4.1,Solyc05g023740.3.1,Solyc05g050460.1.1,Solyc05g053780.4.1,Solyc05g054920.4.1,Solyc05g055010.4.1,Solyc05g056360.2.1,Solyc06g005190.4.1,Solyc06g007780.3.1,Solyc06g009060.4.1,Solyc06g018110.3.1,Solyc06g033790.1.1,Solyc06g052090.2.1,Solyc06g033810.3.1,Solyc06g035610.3.1,Solyc06g036600.3.1,Solyc06g052080.4.1,Solyc06g052085.1.1,Solyc06g052100.3.1,Solyc06g052110.1.1,Solyc06g052115.1.1,Solyc06g052130.2.1,Solyc06g052140.3.1,Solyc06g052143.1.1,Solyc06g052145.1.1,Solyc06g052147.1.1,Solyc06g053300.3.1,Solyc06g053320.4.1,Solyc06g054380.4.1,Solyc06g062680.3.1,Solyc06g062720.2.1,Solyc06g062730.2.1,Solyc06g062740.2.1,Solyc06g063000.3.1,Solyc06g065470.4.1,Solyc06g072770.3.1,Solyc06g074720.4.1,Solyc06g076670.3.1,Solyc06g082220.4.1,Solyc06g082360.4.1,Solyc06g083300.4.1,Solyc06g083730.3.1,Solyc07g042180.4.1,Solyc07g045240.3.1,Solyc07g047940.4.1,Solyc07g048030.4.1,Solyc07g049270.4.1,Solyc07g056340.4.1,Solyc07g056590.3.1,Solyc07g063900.3.1,Solyc07g064510.3.1,Solyc07g065290.3.1,Solyc07g065510.4.1,Solyc07g066420.4.1,Solyc08g007370.3.1,Solyc08g015650.3.1,Solyc08g067820.3.1,Solyc08g068310.3.1,Solyc08g069120.4.1,Solyc08g074790.3.1,Solyc08g074840.1.1,Solyc08g074860.1.1,Solyc08g075820.4.1,Solyc08g076530.3.1,Solyc08g076660.3.1,Solyc08g076840.3.1,Solyc08g077310.3.1,Solyc09g005980.4.1,Solyc09g007850.3.1,Solyc09g008620.3.1,Solyc09g009890.4.1,Solyc09g011210.4.1,Solyc09g018480.1.1,Solyc09g059310.3.1,Solyc09g065080.2.1,Solyc09g072790.3.1,Solyc09g074360.4.1,Solyc09g075090.1.1,Solyc09g075200.4.1,Solyc09g090290.3.1,Solyc09g090420.4.1,Solyc09g090520.3.1,Solyc09g090940.3.1,Solyc09g090960.4.1,Solyc09g092250.3.1,Solyc09g092320.3.1,Solyc09g098390.3.1,Solyc10g005260.3.1,Solyc10g005590.4.1,Solyc10g005980.1.1,Solyc10g006050.3.1,Solyc10g007590.4.1,Solyc10g007770.3.1,Solyc10g008130.3.1,Solyc10g009220.3.1,Solyc10g009330.3.1,Solyc10g062180.2.1,Solyc10g062340.2.1,Solyc10g047130.2.1,Solyc10g047360.2.1,Solyc10g050550.3.1,Solyc10g050860.3.1,Solyc10g051373.1.1,Solyc10g051377.1.1,Solyc10g055360.1.1,Solyc10g076870.2.1,Solyc10g076890.3.1,Solyc10g079190.3.1,Solyc10g079580.2.1,Solyc10g080720.2.1,Solyc10g081180.2.1,Solyc10g081330.3.1,Solyc10g081990.1.1,Solyc10g083240.2.1,Solyc10g083640.2.1,Solyc10g084630.2.1,Solyc10g085750.2.1,Solyc10g086150.2.1,Solyc10g086400.2.1,Solyc11g005170.2.1,Solyc11g006680.3.1,Solyc11g007160.2.1,Solyc11g008210.3.1,Solyc11g008290.1.1,Solyc11g008700.2.1,Solyc11g009090.2.1,Solyc11g011130.3.1,Solyc11g012470.2.1,Solyc11g044470.3.1,Solyc11g040050.3.1,Solyc11g039950.3.1,Solyc11g065320.2.1,Solyc11g065730.3.1,Solyc11g065880.2.1,Solyc11g066830.2.1,Solyc11g069340.2.1,Solyc11g072340.2.1,Solyc11g072590.3.1,Solyc11g073238.1.1,Solyc11g073280.2.1,Solyc12g006180.2.1,Solyc12g008750.3.1,Solyc12g009230.3.1,Solyc12g011050.2.1,Solyc12g011340.2.1,Solyc12g014210.3.1,Solyc12g014600.2.1,Solyc12g019000.2.1,Solyc12g019750.3.1,Solyc12g035250.3.1,Solyc12g035280.1.1,Solyc12g035310.3.1,Solyc12g038020.3.1,Solyc12g038120.3.1,Solyc12g049430.1.1,Solyc12g056890.1.1,Solyc12g088720.2.1,Solyc12g096230.2.1,Solyc12g096640.3.1,Solyc12g100340.1.1"
0,Runt,1,Solyc03g093620.1.1
36,RWP-RK,12,"Solyc01g112190.3.1,Solyc02g005607.1.1,Solyc03g083040.1.1,Solyc03g116010.3.1,Solyc04g082480.3.1,Solyc08g008410.3.1,Solyc08g013900.3.1,Solyc08g062200.3.1,Solyc08g082750.3.1,Solyc11g045350.2.1,Solyc12g011190.2.1,Solyc12g040644.1.1"
52,S1FA,5,"Solyc01g103400.4.1,Solyc04g014840.3.1,Solyc05g015150.3.1,Solyc09g007500.3.1,Solyc10g086065.1.1"
43,SAND,5,"Solyc02g066850.1.1,Solyc03g083410.3.1,Solyc06g083290.1.1,Solyc07g054450.4.1,Solyc11g066480.2.1"
9,SART-1,4,"Solyc01g099380.4.1,Solyc11g008460.1.1,Solyc11g008470.2.1,Solyc12g010170.2.1"
60,SBP,16,"Solyc01g080670.3.1,Solyc01g090730.3.1,Solyc02g077920.4.1,Solyc04g045560.4.1,Solyc04g064470.2.1,Solyc05g012040.4.1,Solyc05g015510.3.1,Solyc05g015840.3.1,Solyc05g053240.4.1,Solyc07g026810.3.1,Solyc07g053810.3.1,Solyc07g062980.4.1,Solyc10g009080.4.1,Solyc10g018780.3.1,Solyc10g078700.3.1,Solyc12g038520.3.1"
41,Sigma70_r2,7,"Solyc01g081490.3.1,Solyc01g087690.3.1,Solyc03g007370.3.1,Solyc03g097320.3.1,Solyc06g072710.3.1,Solyc08g065970.3.1,Solyc09g008040.3.1"
15,SRF-TF,110,"Solyc01g060310.3.1,Solyc01g066500.1.1,Solyc01g066730.4.1,Solyc01g080785.1.1,Solyc01g087990.3.1,Solyc01g093960.3.1,Solyc01g097850.1.1,Solyc01g098050.1.1,Solyc01g098060.1.1,Solyc01g098070.1.1,Solyc01g102260.3.1,Solyc01g103550.1.1,Solyc01g103870.1.1,Solyc01g106170.4.1,Solyc01g106700.3.1,Solyc01g106710.1.1,Solyc01g106720.1.1,Solyc01g106730.1.1,Solyc02g032000.1.1,Solyc02g065730.2.1,Solyc02g071730.4.1,Solyc02g084630.3.1,Solyc02g089200.4.1,Solyc02g089210.4.1,Solyc02g091550.2.1,Solyc03g006830.3.1,Solyc03g033570.1.1,Solyc03g033880.1.1,Solyc03g033890.1.1,Solyc03g033900.1.1,Solyc03g033940.1.1,Solyc03g034260.1.1,Solyc03g062820.1.1,Solyc03g019710.3.1,Solyc03g113240.3.1,Solyc03g114830.3.1,Solyc03g114840.3.1,Solyc04g005320.3.1,Solyc04g025970.1.1,Solyc04g025110.1.1,Solyc04g025050.1.1,Solyc04g025030.1.1,Solyc04g047870.1.1,Solyc04g054525.1.1,Solyc04g054527.1.1,Solyc04g054533.1.1,Solyc04g054684.1.1,Solyc04g054688.1.1,Solyc04g056550.1.1,Solyc04g056740.1.1,Solyc04g064860.1.1,Solyc04g076680.2.1,Solyc04g078300.3.1,Solyc04g081000.3.1,Solyc05g056620.2.1,Solyc05g012020.4.1,Solyc05g013370.1.1,Solyc05g015730.1.1,Solyc05g015750.3.1,Solyc05g051825.1.1,Solyc06g033820.2.1,Solyc06g033830.1.1,Solyc06g035570.1.1,Solyc06g048380.3.1,Solyc06g054680.2.1,Solyc06g059780.1.1,Solyc06g059970.4.1,Solyc06g069430.3.1,Solyc06g071300.1.1,Solyc07g150112.1.1,Solyc07g052700.3.1,Solyc07g052720.4.1,Solyc07g055920.4.1,Solyc08g067230.4.1,Solyc08g080100.4.1,Solyc09g018373.1.1,Solyc09g061950.1.1,Solyc10g012180.1.1,Solyc10g012200.1.1,Solyc10g012380.2.1,Solyc10g017640.1.1,Solyc10g018070.1.1,Solyc10g018080.1.1,Solyc10g018110.1.1,Solyc10g044965.1.1,Solyc10g050900.1.1,Solyc10g050940.1.1,Solyc10g050950.1.1,Solyc10g080030.2.1,Solyc11g005120.3.1,Solyc11g010570.2.1,Solyc11g020320.1.1,Solyc11g020620.1.1,Solyc11g020660.1.1,Solyc11g028020.3.1,Solyc11g032100.2.1,Solyc11g045310.3.1,Solyc11g069770.2.1,Solyc12g005210.1.1,Solyc12g016147.1.1,Solyc12g016150.1.1,Solyc12g016170.1.1,Solyc12g016180.1.1,Solyc12g017300.1.1,Solyc12g036810.3.1,Solyc12g038510.2.1,Solyc12g042015.1.1,Solyc12g056460.3.1,Solyc12g087820.1.1,Solyc12g087830.2.1"
59,TBP,3,"Solyc01g150102.1.1,Solyc01g028930.4.1,Solyc01g106963.1.1"
