maker-Nitab12-augustus-gene-1189.3	augustus-Nitab12-processed-gene-667.1
maker-Nitab01-pred_gff_Mikado_loci-gene-435.1	augustus-Nitab23-processed-gene-524.3
maker-Nitab11-augustus-gene-1218.7	maker-Nitab13-pred_gff_Mikado_loci-gene-1306.8
maker-Nitab10-augustus-gene-1287.0	maker-Nitab02-augustus-gene-1111.2
augustus-Nitab20-processed-gene-1388.5	augustus-Nitab15-processed-gene-61.3
maker-Nitab13-augustus-gene-1178.3	maker-Nitab04-augustus-gene-170.0
maker-Nitab22-augustus-gene-1656.1	maker-Nitab08-augustus-gene-161.16
maker-Nitab05-augustus-gene-87.6	maker-Nitab12-augustus-gene-1177.14
maker-Nitab17-augustus-gene-999.18	maker-Nitab17-augustus-gene-579.6
maker-Nitab05-pred_gff_Mikado_loci-gene-1407.11	maker-Nitab15-augustus-gene-984.0
maker-Nitab03-pred_gff_Mikado_loci-gene-1732.21	maker-Nitab17-pred_gff_Mikado_loci-gene-1221.34
maker-Nitab01-pred_gff_Mikado_loci-gene-142.12	maker-Nitab23-pred_gff_Mikado_loci-gene-233.1
maker-Nitab05-pred_gff_Mikado_loci-gene-390.8	maker-Nitab02-augustus-gene-90.2
augustus-Nitab16-processed-gene-1464.9	augustus-Nitab12-processed-gene-1127.18
maker-Nitab18-pred_gff_Mikado_loci-gene-902.0	maker-Nitab09-augustus-gene-354.0
maker-Nitab16-pred_gff_Mikado_loci-gene-92.19	maker-Nitab17-pred_gff_Mikado_loci-gene-296.5
maker-Nitab19-augustus-gene-675.20	augustus-Nitab19-processed-gene-676.12
maker-Nitab06-augustus-gene-1837.23	maker-Nitab04-augustus-gene-189.14
maker-Nitab20-augustus-gene-820.9	maker-Nitab15-augustus-gene-349.2
augustus-Nitab10-processed-gene-711.12	maker-Nitab02-augustus-gene-665.20
maker-Nitab08-pred_gff_Mikado_loci-gene-43.29	maker-Nitab04-augustus-gene-94.6
maker-Nitab13-pred_gff_Mikado_loci-gene-27.3	augustus-Nitab02-processed-gene-53.2
maker-Nitab08-augustus-gene-231.7	maker-Nitab22-pred_gff_Mikado_loci-gene-32.11
maker-Nitab07-augustus-gene-1263.10	maker-Nitab19-pred_gff_Mikado_loci-gene-446.0
maker-Nitab20-augustus-gene-224.12	maker-Nitab24-augustus-gene-852.0
maker-Nitab07-pred_gff_Mikado_loci-gene-135.13	maker-Nitab17-pred_gff_Mikado_loci-gene-499.10
maker-Nitab20-augustus-gene-1287.22	augustus-Nitab15-processed-gene-137.12
maker-Nitab10-pred_gff_Mikado_loci-gene-1453.7	maker-Nitab23-augustus-gene-468.22
maker-Nitab03-augustus-gene-1470.10	augustus-Nitab17-processed-gene-1405.7
augustus-Nitab11-processed-gene-339.4	maker-Nitab13-augustus-gene-138.12
maker-Nitab03-augustus-gene-1277.2	maker-Nitab06-augustus-gene-1528.7
maker-Nitab06-pred_gff_Mikado_loci-gene-1355.7	maker-Nitab04-pred_gff_Mikado_loci-gene-456.1
maker-Nitab06-augustus-gene-1173.4	maker-Nitab04-augustus-gene-596.15
maker-Nitab06-augustus-gene-850.6	maker-Nitab04-augustus-gene-956.5
augustus-Nitab07-processed-gene-541.10	augustus-Nitab19-processed-gene-1330.17
augustus-Nitab08-processed-gene-858.9	maker-Nitab22-augustus-gene-920.0
maker-Nitab18-pred_gff_Mikado_loci-gene-594.5	maker-Nitab24-augustus-gene-915.9
maker-Nitab05-pred_gff_Mikado_loci-gene-329.25	maker-Nitab02-pred_gff_Mikado_loci-gene-234.0
maker-Nitab07-augustus-gene-579.4	maker-Nitab19-augustus-gene-1367.7
maker-Nitab10-augustus-gene-40.6	maker-Nitab02-augustus-gene-31.21
augustus-Nitab22-processed-gene-1491.1	maker-Nitab14-augustus-gene-999.10
maker-Nitab06-pred_gff_Mikado_loci-gene-1414.44	maker-Nitab04-augustus-gene-438.4
augustus-Nitab17-processed-gene-1079.3	augustus-Nitab17-processed-gene-823.7
maker-Nitab06-augustus-gene-1130.12	maker-Nitab04-augustus-gene-616.7
maker-Nitab16-pred_gff_Mikado_loci-gene-1360.4	maker-Nitab12-pred_gff_Mikado_loci-gene-1048.3
maker-Nitab12-pred_gff_Mikado_loci-gene-1240.8	maker-Nitab02-pred_gff_Mikado_loci-gene-195.20
maker-Nitab06-augustus-gene-333.1	augustus-Nitab04-processed-gene-1048.9
maker-Nitab10-augustus-gene-690.2	maker-Nitab19-augustus-gene-1317.0
maker-Nitab01-augustus-gene-1683.15	maker-Nitab23-augustus-gene-1264.2
maker-Nitab06-augustus-gene-1239.20	augustus-Nitab21-processed-gene-402.0
augustus-Nitab08-processed-gene-41.0	maker-Nitab22-pred_gff_Mikado_loci-gene-398.0
maker-Nitab11-augustus-gene-823.0	maker-Nitab13-augustus-gene-111.0
maker-Nitab22-augustus-gene-1206.2	maker-Nitab19-augustus-gene-719.12
maker-Nitab20-augustus-gene-1329.17	augustus-Nitab15-processed-gene-112.4
maker-Nitab06-augustus-gene-137.2	maker-Nitab04-augustus-gene-1237.11
maker-Nitab06-augustus-gene-1317.11	augustus-Nitab21-processed-gene-362.0
maker-Nitab07-augustus-gene-143.13	augustus-Nitab19-processed-gene-891.0
maker-Nitab06-augustus-gene-1143.21	maker-Nitab04-pred_gff_Mikado_loci-gene-598.0
maker-Nitab05-augustus-gene-706.12	augustus-Nitab15-processed-gene-628.6
maker-Nitab10-augustus-gene-1177.6	augustus-Nitab02-processed-gene-1035.5
maker-Nitab03-augustus-gene-724.0	maker-Nitab17-augustus-gene-1139.0
maker-Nitab03-pred_gff_Mikado_loci-gene-1297.6	maker-Nitab17-pred_gff_Mikado_loci-gene-1479.13
augustus-Nitab17-processed-gene-1364.1	maker-Nitab17-augustus-gene-1388.14
maker-Nitab01-pred_gff_Mikado_loci-gene-1476.20	maker-Nitab23-augustus-gene-805.6
maker-Nitab10-augustus-gene-286.1	maker-Nitab02-augustus-gene-202.0
maker-Nitab07-pred_gff_Mikado_loci-gene-40.0	maker-Nitab24-augustus-gene-357.4
maker-Nitab08-pred_gff_Mikado_loci-gene-631.4	maker-Nitab22-augustus-gene-722.5
maker-Nitab11-pred_gff_Mikado_loci-gene-248.5	maker-Nitab13-augustus-gene-1263.0
maker-Nitab05-pred_gff_Mikado_loci-gene-783.6	augustus-Nitab24-processed-gene-26.6
maker-Nitab16-augustus-gene-704.16	maker-Nitab22-augustus-gene-763.5
augustus-Nitab10-processed-gene-1112.0	augustus-Nitab02-processed-gene-947.29
maker-Nitab03-pred_gff_Mikado_loci-gene-256.1	augustus-Nitab17-processed-gene-629.1
maker-Nitab16-augustus-gene-796.3	augustus-Nitab12-processed-gene-753.9
maker-Nitab06-pred_gff_Mikado_loci-gene-334.0	maker-Nitab04-pred_gff_Mikado_loci-gene-1064.1
maker-Nitab03-augustus-gene-1637.36	maker-Nitab03-pred_gff_Mikado_loci-gene-1665.2
maker-Nitab03-augustus-gene-1416.6	maker-Nitab17-augustus-gene-1441.8
maker-Nitab06-pred_gff_Mikado_loci-gene-632.4	maker-Nitab24-augustus-gene-351.8
maker-Nitab03-augustus-gene-1485.0	maker-Nitab04-augustus-gene-189.2
maker-Nitab18-augustus-gene-926.2	augustus-Nitab18-processed-gene-1404.3
maker-Nitab20-augustus-gene-229.2	maker-Nitab12-augustus-gene-314.0
augustus-Nitab20-processed-gene-1329.10	augustus-Nitab15-processed-gene-112.1
maker-Nitab10-pred_gff_Mikado_loci-gene-1164.7	maker-Nitab21-pred_gff_Mikado_loci-gene-813.13
maker-Nitab10-augustus-gene-874.2	maker-Nitab02-augustus-gene-782.6
maker-Nitab08-pred_gff_Mikado_loci-gene-60.22	maker-Nitab15-augustus-gene-146.10
maker-Nitab05-augustus-gene-1426.8	maker-Nitab15-augustus-gene-399.0
maker-Nitab05-augustus-gene-1547.0	maker-Nitab15-augustus-gene-1174.1
maker-Nitab06-augustus-gene-1791.10	maker-Nitab15-augustus-gene-124.3
maker-Nitab07-pred_gff_Mikado_loci-gene-141.12	maker-Nitab19-augustus-gene-894.8
maker-Nitab06-augustus-gene-1398.3	maker-Nitab22-augustus-gene-800.0
maker-Nitab18-pred_gff_Mikado_loci-gene-210.5	maker-Nitab22-pred_gff_Mikado_loci-gene-639.6
maker-Nitab08-augustus-gene-1340.6	maker-Nitab02-augustus-gene-740.8
augustus-Nitab22-processed-gene-2140.35	maker-Nitab19-augustus-gene-6.2
maker-Nitab20-augustus-gene-56.7	maker-Nitab24-augustus-gene-1035.3
maker-Nitab05-pred_gff_Mikado_loci-gene-48.1	maker-Nitab24-augustus-gene-525.10
maker-Nitab19-pred_gff_Mikado_loci-gene-1245.9	maker-Nitab15-augustus-gene-656.4
augustus-Nitab01-processed-gene-640.3	maker-Nitab09-augustus-gene-1062.7
maker-Nitab03-augustus-gene-1271.4	maker-Nitab17-augustus-gene-1497.2
maker-Nitab08-augustus-gene-240.1	maker-Nitab19-pred_gff_Mikado_loci-gene-594.1
maker-Nitab10-augustus-gene-1357.0	maker-Nitab02-augustus-gene-1152.7
maker-Nitab16-pred_gff_Mikado_loci-gene-11.28	maker-Nitab23-augustus-gene-1456.5
maker-Nitab06-augustus-gene-1865.14	maker-Nitab04-augustus-gene-223.5
maker-Nitab20-pred_gff_Mikado_loci-gene-667.6	maker-Nitab24-augustus-gene-626.3
augustus-Nitab03-processed-gene-1243.4	augustus-Nitab17-processed-gene-1519.9
maker-Nitab16-pred_gff_Mikado_loci-gene-1474.0	maker-Nitab12-augustus-gene-1148.0
maker-Nitab05-pred_gff_Mikado_loci-gene-283.2	maker-Nitab24-augustus-gene-238.4
maker-Nitab20-augustus-gene-734.6	maker-Nitab15-pred_gff_Mikado_loci-gene-960.2
maker-Nitab05-augustus-gene-350.7	maker-Nitab24-augustus-gene-158.3
maker-Nitab03-augustus-gene-1262.18	maker-Nitab17-augustus-gene-1505.15
maker-Nitab18-pred_gff_Mikado_loci-gene-988.0	maker-Nitab09-augustus-gene-338.2
augustus-Nitab18-processed-gene-766.0	maker-Nitab19-augustus-gene-1297.1
maker-Nitab10-augustus-gene-1303.7	augustus-Nitab04-processed-gene-859.4
maker-Nitab21-pred_gff_Mikado_loci-gene-16.1	maker-Nitab14-pred_gff_Mikado_loci-gene-1150.10
maker-Nitab03-augustus-gene-1714.17	maker-Nitab17-augustus-gene-1241.12
maker-Nitab08-augustus-gene-260.3	maker-Nitab12-augustus-gene-44.2
maker-Nitab01-augustus-gene-1573.11	maker-Nitab19-augustus-gene-1007.7
maker-Nitab03-pred_gff_Mikado_loci-gene-406.7	maker-Nitab17-augustus-gene-1201.0
maker-Nitab13-augustus-gene-1420.4	maker-Nitab13-pred_gff_Mikado_loci-gene-177.27
maker-Nitab08-pred_gff_Mikado_loci-gene-1103.5	maker-Nitab24-augustus-gene-851.1
augustus-Nitab03-processed-gene-1486.21	augustus-Nitab22-processed-gene-168.1
maker-Nitab06-augustus-gene-1766.10	maker-Nitab06-augustus-gene-1765.14
maker-Nitab06-augustus-gene-1185.36	maker-Nitab19-augustus-gene-1001.25
maker-Nitab07-pred_gff_Mikado_loci-gene-786.24	augustus-Nitab14-processed-gene-236.4
maker-Nitab01-augustus-gene-1818.8	maker-Nitab09-augustus-gene-427.3
maker-Nitab08-pred_gff_Mikado_loci-gene-5.0	maker-Nitab22-pred_gff_Mikado_loci-gene-191.3
maker-Nitab07-augustus-gene-344.7	maker-Nitab19-augustus-gene-1147.10
maker-Nitab21-augustus-gene-318.7	augustus-Nitab14-processed-gene-844.0
maker-Nitab09-pred_gff_Mikado_loci-gene-49.1	maker-Nitab18-augustus-gene-1454.23
augustus-Nitab20-processed-gene-36.0	maker-Nitab24-pred_gff_Mikado_loci-gene-1055.15
maker-Nitab16-pred_gff_Mikado_loci-gene-1322.19	maker-Nitab15-pred_gff_Mikado_loci-gene-334.7
maker-Nitab16-pred_gff_Mikado_loci-gene-4.16	maker-Nitab23-pred_gff_Mikado_loci-gene-1472.19
maker-Nitab22-augustus-gene-870.7	maker-Nitab22-augustus-gene-717.7
maker-Nitab11-augustus-gene-1454.14	maker-Nitab19-augustus-gene-1066.2
maker-Nitab03-pred_gff_Mikado_loci-gene-1736.26	maker-Nitab14-pred_gff_Mikado_loci-gene-1152.7
maker-Nitab01-pred_gff_Mikado_loci-gene-15.29	maker-Nitab15-pred_gff_Mikado_loci-gene-1239.13
maker-Nitab11-pred_gff_Mikado_loci-gene-1145.20	maker-Nitab13-pred_gff_Mikado_loci-gene-276.0
maker-Nitab01-pred_gff_Mikado_loci-gene-1043.7	maker-Nitab19-augustus-gene-1413.6
maker-Nitab11-augustus-gene-1453.6	maker-Nitab14-pred_gff_Mikado_loci-gene-164.19
maker-Nitab05-augustus-gene-180.7	augustus-Nitab24-processed-gene-314.12
maker-Nitab17-pred_gff_Mikado_loci-gene-1350.0	maker-Nitab17-pred_gff_Mikado_loci-gene-1328.4
maker-Nitab07-augustus-gene-847.0	maker-Nitab14-augustus-gene-496.1
maker-Nitab07-augustus-gene-1125.4	maker-Nitab22-pred_gff_Mikado_loci-gene-273.8
maker-Nitab06-augustus-gene-1621.21	maker-Nitab04-pred_gff_Mikado_loci-gene-21.19
maker-Nitab07-pred_gff_Mikado_loci-gene-1032.0	maker-Nitab14-pred_gff_Mikado_loci-gene-404.0
maker-Nitab06-augustus-gene-1676.4	maker-Nitab04-augustus-gene-69.19
maker-Nitab05-pred_gff_Mikado_loci-gene-833.0	maker-Nitab02-augustus-gene-12.2
maker-Nitab08-pred_gff_Mikado_loci-gene-872.15	maker-Nitab09-augustus-gene-1067.2
maker-Nitab08-augustus-gene-83.1	maker-Nitab17-augustus-gene-94.23
maker-Nitab18-augustus-gene-917.6	augustus-Nitab09-processed-gene-252.11
maker-Nitab07-pred_gff_Mikado_loci-gene-1476.14	maker-Nitab13-pred_gff_Mikado_loci-gene-57.1
maker-Nitab07-augustus-gene-68.1	augustus-Nitab04-processed-gene-1234.8
maker-Nitab03-pred_gff_Mikado_loci-gene-1639.0	maker-Nitab03-augustus-gene-1668.8
maker-Nitab03-pred_gff_Mikado_loci-gene-628.5	maker-Nitab17-pred_gff_Mikado_loci-gene-943.0
maker-Nitab20-augustus-gene-1218.7	maker-Nitab15-augustus-gene-182.1
maker-Nitab07-pred_gff_Mikado_loci-gene-321.22	maker-Nitab19-augustus-gene-1132.0
maker-Nitab05-pred_gff_Mikado_loci-gene-1100.10	maker-Nitab23-augustus-gene-1467.9
maker-Nitab20-pred_gff_Mikado_loci-gene-452.10	maker-Nitab12-pred_gff_Mikado_loci-gene-393.7
maker-Nitab06-pred_gff_Mikado_loci-gene-1872.19	maker-Nitab04-pred_gff_Mikado_loci-gene-234.1
maker-Nitab20-augustus-gene-954.0	maker-Nitab23-augustus-gene-3.0
maker-Nitab10-augustus-gene-627.5	maker-Nitab24-augustus-gene-229.4
maker-Nitab20-pred_gff_Mikado_loci-gene-271.10	maker-Nitab12-augustus-gene-332.0
maker-Nitab01-pred_gff_Mikado_loci-gene-30.0	maker-Nitab23-pred_gff_Mikado_loci-gene-89.18
maker-Nitab07-pred_gff_Mikado_loci-gene-272.1	maker-Nitab07-pred_gff_Mikado_loci-gene-251.1
maker-Nitab16-pred_gff_Mikado_loci-gene-1466.10	maker-Nitab12-augustus-gene-1127.11
maker-Nitab03-augustus-gene-1310.55	maker-Nitab03-augustus-gene-1361.44
maker-Nitab22-augustus-gene-821.0	maker-Nitab22-augustus-gene-356.1
maker-Nitab01-pred_gff_Mikado_loci-gene-1037.12	maker-Nitab12-pred_gff_Mikado_loci-gene-860.4
maker-Nitab20-pred_gff_Mikado_loci-gene-63.11	maker-Nitab12-pred_gff_Mikado_loci-gene-207.5
maker-Nitab08-pred_gff_Mikado_loci-gene-766.10	maker-Nitab09-pred_gff_Mikado_loci-gene-999.2
maker-Nitab20-pred_gff_Mikado_loci-gene-1365.15	maker-Nitab15-augustus-gene-92.1
augustus-Nitab22-processed-gene-960.0	maker-Nitab15-augustus-gene-33.0
maker-Nitab11-augustus-gene-1197.2	maker-Nitab13-augustus-gene-252.7
augustus-Nitab03-processed-gene-791.2	maker-Nitab24-pred_gff_Mikado_loci-gene-1032.20
maker-Nitab03-augustus-gene-1414.13	augustus-Nitab14-processed-gene-89.8
maker-Nitab05-augustus-gene-181.8	maker-Nitab24-augustus-gene-314.7
augustus-Nitab08-processed-gene-507.18	maker-Nitab22-augustus-gene-468.17
maker-Nitab03-augustus-gene-1711.0	augustus-Nitab17-processed-gene-1246.12
maker-Nitab10-pred_gff_Mikado_loci-gene-477.4	maker-Nitab02-augustus-gene-406.0
maker-Nitab18-pred_gff_Mikado_loci-gene-1024.19	augustus-Nitab04-processed-gene-134.5
augustus-Nitab16-processed-gene-1196.3	augustus-Nitab19-processed-gene-1401.3
maker-Nitab16-pred_gff_Mikado_loci-gene-489.0	maker-Nitab12-pred_gff_Mikado_loci-gene-305.0
maker-Nitab01-augustus-gene-1420.0	maker-Nitab17-augustus-gene-1642.8
augustus-Nitab07-processed-gene-74.4	maker-Nitab19-augustus-gene-813.8
maker-Nitab08-pred_gff_Mikado_loci-gene-1522.8	maker-Nitab21-pred_gff_Mikado_loci-gene-847.1
maker-Nitab07-pred_gff_Mikado_loci-gene-484.5	maker-Nitab13-augustus-gene-785.0
maker-Nitab16-augustus-gene-188.0	augustus-Nitab23-processed-gene-1323.1
maker-Nitab03-augustus-gene-964.2	maker-Nitab17-augustus-gene-1664.15
maker-Nitab01-augustus-gene-244.4	maker-Nitab23-augustus-gene-392.7
maker-Nitab22-augustus-gene-988.1	maker-Nitab15-augustus-gene-529.4
augustus-Nitab11-processed-gene-60.1	augustus-Nitab14-processed-gene-412.4
maker-Nitab01-augustus-gene-140.2	maker-Nitab15-pred_gff_Mikado_loci-gene-1207.13
maker-Nitab11-augustus-gene-611.0	maker-Nitab04-augustus-gene-523.2
maker-Nitab16-augustus-gene-1408.4	maker-Nitab12-augustus-gene-1097.13
maker-Nitab10-pred_gff_Mikado_loci-gene-142.12	maker-Nitab02-pred_gff_Mikado_loci-gene-110.0
maker-Nitab01-augustus-gene-1843.19	maker-Nitab12-augustus-gene-35.0
maker-Nitab21-pred_gff_Mikado_loci-gene-167.9	maker-Nitab17-augustus-gene-572.7
maker-Nitab10-pred_gff_Mikado_loci-gene-1481.0	maker-Nitab02-pred_gff_Mikado_loci-gene-1248.40
augustus-Nitab08-processed-gene-1360.3	maker-Nitab21-pred_gff_Mikado_loci-gene-597.1
maker-Nitab11-augustus-gene-1410.0	maker-Nitab13-augustus-gene-69.6
augustus-Nitab01-processed-gene-611.2	maker-Nitab23-augustus-gene-665.0
maker-Nitab08-pred_gff_Mikado_loci-gene-392.23	maker-Nitab22-augustus-gene-326.5
maker-Nitab07-augustus-gene-64.22	maker-Nitab19-augustus-gene-820.3
maker-Nitab01-augustus-gene-635.7	maker-Nitab22-augustus-gene-647.7
maker-Nitab06-augustus-gene-1795.15	maker-Nitab04-augustus-gene-161.13
maker-Nitab07-augustus-gene-61.13	maker-Nitab19-pred_gff_Mikado_loci-gene-845.2
maker-Nitab01-pred_gff_Mikado_loci-gene-332.35	maker-Nitab17-augustus-gene-793.8
maker-Nitab11-augustus-gene-679.3	augustus-Nitab11-processed-gene-73.4
maker-Nitab10-augustus-gene-59.7	maker-Nitab19-augustus-gene-572.5
maker-Nitab06-augustus-gene-358.1	maker-Nitab23-augustus-gene-391.0
maker-Nitab10-augustus-gene-43.2	maker-Nitab02-augustus-gene-34.14
maker-Nitab08-augustus-gene-445.6	maker-Nitab22-pred_gff_Mikado_loci-gene-414.14
maker-Nitab07-pred_gff_Mikado_loci-gene-1060.10	maker-Nitab14-pred_gff_Mikado_loci-gene-393.0
maker-Nitab06-pred_gff_Mikado_loci-gene-1288.14	maker-Nitab17-augustus-gene-106.7
maker-Nitab03-pred_gff_Mikado_loci-gene-1049.3	maker-Nitab17-pred_gff_Mikado_loci-gene-1620.1
maker-Nitab18-pred_gff_Mikado_loci-gene-253.0	augustus-Nitab09-processed-gene-1017.0
maker-Nitab07-pred_gff_Mikado_loci-gene-267.6	maker-Nitab07-pred_gff_Mikado_loci-gene-255.1
augustus-Nitab06-processed-gene-1420.14	maker-Nitab04-pred_gff_Mikado_loci-gene-406.24
maker-Nitab18-augustus-gene-145.6	maker-Nitab09-augustus-gene-1072.0
maker-Nitab03-pred_gff_Mikado_loci-gene-1737.15	augustus-Nitab03-processed-gene-623.15
maker-Nitab06-pred_gff_Mikado_loci-gene-1820.2	maker-Nitab04-augustus-gene-170.4
maker-Nitab01-pred_gff_Mikado_loci-gene-249.0	maker-Nitab23-pred_gff_Mikado_loci-gene-396.3
maker-Nitab17-augustus-gene-1278.11	maker-Nitab23-augustus-gene-1258.11
maker-Nitab06-augustus-gene-1509.3	maker-Nitab24-augustus-gene-581.10
maker-Nitab07-augustus-gene-216.13	augustus-Nitab19-processed-gene-997.2
maker-Nitab01-pred_gff_Mikado_loci-gene-197.27	maker-Nitab23-augustus-gene-342.14
maker-Nitab16-pred_gff_Mikado_loci-gene-1480.6	augustus-Nitab09-processed-gene-396.7
augustus-Nitab18-processed-gene-465.8	maker-Nitab09-augustus-gene-850.6
maker-Nitab07-augustus-gene-94.9	maker-Nitab17-pred_gff_Mikado_loci-gene-1131.6
maker-Nitab10-augustus-gene-849.6	maker-Nitab02-augustus-gene-771.36
maker-Nitab20-augustus-gene-94.11	maker-Nitab12-augustus-gene-250.3
maker-Nitab05-pred_gff_Mikado_loci-gene-298.11	maker-Nitab24-augustus-gene-301.4
maker-Nitab03-pred_gff_Mikado_loci-gene-1716.46	maker-Nitab12-augustus-gene-16.1
augustus-Nitab06-processed-gene-1569.2	maker-Nitab04-augustus-gene-314.26
maker-Nitab07-pred_gff_Mikado_loci-gene-3.2	maker-Nitab19-augustus-gene-865.14
augustus-Nitab01-processed-gene-228.1	augustus-Nitab23-processed-gene-383.24
augustus-Nitab20-processed-gene-487.9	maker-Nitab12-augustus-gene-432.0
maker-Nitab03-augustus-gene-1242.5	augustus-Nitab17-processed-gene-1519.12
maker-Nitab07-augustus-gene-83.12	augustus-Nitab19-processed-gene-759.4
maker-Nitab18-pred_gff_Mikado_loci-gene-230.11	maker-Nitab17-pred_gff_Mikado_loci-gene-344.18
maker-Nitab08-augustus-gene-502.11	maker-Nitab14-augustus-gene-322.6
maker-Nitab03-pred_gff_Mikado_loci-gene-1637.3	maker-Nitab17-pred_gff_Mikado_loci-gene-990.1
maker-Nitab22-pred_gff_Mikado_loci-gene-1626.0	maker-Nitab17-augustus-gene-228.7
maker-Nitab08-pred_gff_Mikado_loci-gene-1655.8	maker-Nitab02-pred_gff_Mikado_loci-gene-1238.2
maker-Nitab11-pred_gff_Mikado_loci-gene-884.0	maker-Nitab13-pred_gff_Mikado_loci-gene-764.2
maker-Nitab09-pred_gff_Mikado_loci-gene-117.10	maker-Nitab18-augustus-gene-1362.6
maker-Nitab11-augustus-gene-826.0	maker-Nitab13-augustus-gene-685.7
maker-Nitab06-pred_gff_Mikado_loci-gene-1676.2	maker-Nitab22-augustus-gene-388.8
maker-Nitab05-augustus-gene-1379.3	augustus-Nitab15-processed-gene-1042.0
maker-Nitab18-pred_gff_Mikado_loci-gene-363.0	maker-Nitab22-pred_gff_Mikado_loci-gene-589.0
augustus-Nitab11-processed-gene-53.5	augustus-Nitab13-processed-gene-1347.18
maker-Nitab21-augustus-gene-41.8	augustus-Nitab17-processed-gene-1276.24
maker-Nitab22-augustus-gene-2082.5	maker-Nitab09-augustus-gene-1122.21
maker-Nitab03-pred_gff_Mikado_loci-gene-1178.6	maker-Nitab17-pred_gff_Mikado_loci-gene-1549.2
maker-Nitab05-pred_gff_Mikado_loci-gene-943.0	maker-Nitab16-augustus-gene-624.5
maker-Nitab22-pred_gff_Mikado_loci-gene-2034.23	maker-Nitab19-augustus-gene-74.4
maker-Nitab21-augustus-gene-176.3	maker-Nitab19-augustus-gene-771.0
maker-Nitab01-pred_gff_Mikado_loci-gene-1927.15	maker-Nitab01-pred_gff_Mikado_loci-gene-1933.24
maker-Nitab10-augustus-gene-1095.4	maker-Nitab02-pred_gff_Mikado_loci-gene-885.20
maker-Nitab06-augustus-gene-1567.14	maker-Nitab04-pred_gff_Mikado_loci-gene-315.1
maker-Nitab06-pred_gff_Mikado_loci-gene-1916.42	maker-Nitab04-augustus-gene-266.25
maker-Nitab05-pred_gff_Mikado_loci-gene-293.6	maker-Nitab24-augustus-gene-126.5
augustus-Nitab07-processed-gene-329.6	maker-Nitab19-augustus-gene-1137.22
maker-Nitab08-pred_gff_Mikado_loci-gene-1417.0	maker-Nitab02-augustus-gene-865.10
maker-Nitab06-pred_gff_Mikado_loci-gene-1013.49	maker-Nitab04-augustus-gene-690.1
maker-Nitab08-augustus-gene-1475.0	maker-Nitab21-augustus-gene-806.2
maker-Nitab16-augustus-gene-409.0	maker-Nitab12-pred_gff_Mikado_loci-gene-279.0
maker-Nitab03-pred_gff_Mikado_loci-gene-749.0	maker-Nitab17-pred_gff_Mikado_loci-gene-1763.23
augustus-Nitab20-processed-gene-1405.15	maker-Nitab14-augustus-gene-87.4
maker-Nitab06-augustus-gene-1820.29	maker-Nitab04-augustus-gene-170.9
maker-Nitab22-pred_gff_Mikado_loci-gene-1602.0	maker-Nitab15-augustus-gene-391.5
augustus-Nitab22-processed-gene-1318.0	maker-Nitab17-augustus-gene-209.6
maker-Nitab10-augustus-gene-85.11	maker-Nitab23-augustus-gene-816.22
maker-Nitab21-augustus-gene-30.4	maker-Nitab14-augustus-gene-1116.6
maker-Nitab16-pred_gff_Mikado_loci-gene-169.0	maker-Nitab12-augustus-gene-494.2
maker-Nitab10-augustus-gene-865.7	maker-Nitab02-augustus-gene-773.15
maker-Nitab10-augustus-gene-865.5	maker-Nitab02-augustus-gene-773.8
maker-Nitab10-pred_gff_Mikado_loci-gene-27.14	maker-Nitab04-augustus-gene-322.0
maker-Nitab20-pred_gff_Mikado_loci-gene-109.13	maker-Nitab09-pred_gff_Mikado_loci-gene-797.0
maker-Nitab20-augustus-gene-600.5	maker-Nitab24-augustus-gene-479.3
maker-Nitab07-augustus-gene-1217.6	maker-Nitab14-augustus-gene-302.5
maker-Nitab20-augustus-gene-45.25	maker-Nitab24-augustus-gene-1044.9
augustus-Nitab11-processed-gene-1347.5	augustus-Nitab13-processed-gene-141.1
maker-Nitab10-augustus-gene-595.0	maker-Nitab02-pred_gff_Mikado_loci-gene-569.31
maker-Nitab03-augustus-gene-1637.32	maker-Nitab12-augustus-gene-473.0
augustus-Nitab03-processed-gene-1208.21	maker-Nitab17-pred_gff_Mikado_loci-gene-738.3
augustus-Nitab06-processed-gene-358.15	maker-Nitab19-pred_gff_Mikado_loci-gene-784.0
maker-Nitab17-augustus-gene-255.4	maker-Nitab04-augustus-gene-482.0
maker-Nitab03-augustus-gene-1714.24	maker-Nitab17-augustus-gene-1241.13
maker-Nitab18-pred_gff_Mikado_loci-gene-123.0	augustus-Nitab18-processed-gene-73.9
maker-Nitab10-augustus-gene-201.2	maker-Nitab02-pred_gff_Mikado_loci-gene-152.9
maker-Nitab09-pred_gff_Mikado_loci-gene-36.8	augustus-Nitab18-processed-gene-1466.0
maker-Nitab01-pred_gff_Mikado_loci-gene-1922.4	maker-Nitab12-augustus-gene-6.0
maker-Nitab05-augustus-gene-117.4	maker-Nitab09-pred_gff_Mikado_loci-gene-411.1
maker-Nitab06-pred_gff_Mikado_loci-gene-1643.15	maker-Nitab04-augustus-gene-36.8
maker-Nitab06-augustus-gene-1453.3	augustus-Nitab24-processed-gene-599.0
maker-Nitab08-augustus-gene-1656.5	maker-Nitab21-augustus-gene-946.1
maker-Nitab07-augustus-gene-1466.4	maker-Nitab14-augustus-gene-130.7
